sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
2016.1,6.0,1.0,1.0,1.0,0.0,1.0,14.0,1.0,0.0,3.0,3.0,3.0,5.0,28.0,1952.0,800.0,90.0,784.0,143.0,195676.96
2016.0,6.0,0.0,0.0,1.0,1.0,3.0,14.0,2.0,1.0,7.0,5.0,1.0,4.0,11.0,1952.0,1314.14,90.0,1414.0,0.0,500000.0
2016.34,2.0,0.0,0.0,1.0,0.0,1.0,4.36,1.0,0.0,2.0,3.6,3.0,1.0,12.0,1928.0,691.72,59.0,719.0,0.0,200977.2
2016.22,9.0,1.0,1.0,1.0,0.0,3.0,5.0,2.0,0.0,6.0,5.0,3.0,2.0,30.0,1921.0,1250.0,99.0,812.0,0.0,428821.0
2016.0,6.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,0.0,5.0,3.0,3.0,2.0,24.0,2001.0,990.46,82.0,691.08,0.0,450000.0
2016.06,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,3.4,3.0,2.0,25.0,1987.0,580.0,95.0,320.94,0.0,282455.76
2016.0,6.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,4.0,1.44,2.0,28.0,1938.0,821.96,93.0,710.0,0.0,245000.0
2016.0,6.0,0.0,0.0,1.0,0.0,2.0,9.0,1.0,1.0,5.0,5.0,2.16,2.0,28.0,1955.0,1120.1,98.0,1117.0,0.0,505000.0
2016.04,2.0,0.0,0.0,2.0,0.0,2.0,7.0,1.0,0.0,4.0,3.0,3.0,5.0,25.0,1987.0,811.84,97.0,382.06,0.0,465171.52
2016.18,7.0,0.0,0.0,1.0,1.0,2.0,33.0,2.0,1.0,5.0,5.0,3.0,2.0,26.0,1975.0,1549.0,54.0,2186.0,87.0,728079.76
2016.0,9.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,4.0,3.0,3.0,2.0,24.0,1955.0,716.28,81.0,670.0,0.0,161449.22
2016.0,9.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,5.0,4.08,3.0,2.0,30.0,1939.0,950.0,83.0,951.0,0.0,399000.0
2016.0,4.0,0.0,0.0,1.0,0.0,0.0,12.62,1.0,0.0,2.0,3.0,1.0,5.0,28.0,1962.0,458.42,99.0,527.0,0.0,114170.0
2016.0,8.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,2.0,27.0,1959.0,703.14,73.0,713.0,0.0,155000.0
2016.0,7.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,1.0,2.0,26.0,1951.0,696.3,66.0,676.54,0.0,162076.0
2016.28,9.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,1.0,6.0,5.0,3.0,4.0,24.0,2014.0,1512.78,96.0,649.1,0.0,689195.98
